index,date,time,location,lat,lng,precinct,reporting_area,zone,subject_age,subject_race,subject_sex,officer_id_hash,type,violation,arrest_made,citation_issued,warning_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,frisk_performed,search_conducted,search_person,search_vehicle,search_basis,reason_for_stop,vehicle_registration_state,notes
643087,2012-12-27,85200.0,"4TH AVE S & KOREAN VETERANS BLVD, NASHVILLE, TN, 37201",36.1571758,-86.7746549,4.0,4053.0,425.0,23.0,white,female,cf98c01df4,vehicular,moving traffic violation,False,True,False,citation,,,,False,False,False,False,,moving traffic violation,TN,
2828929,2015-08-30,58380.0,"10TH AVE N & JEFFERSON ST, NASHVILLE, TN, 37208",36.1724217,-86.7947991,6.0,4303.0,617.0,56.0,black,female,d96e83cd33,vehicular,moving traffic violation,True,False,True,arrest,,,,False,False,False,False,,moving traffic violation,TN,
2723076,2014-08-16,8400.0,"2ND AVE S & LINDSLEY AVE, NASHVILLE, TN, 37210",36.152371,-86.7690088,4.0,4005.0,425.0,32.0,white,male,adf5df7aac,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,
2460663,2011-07-10,68100.0,"COLEY DAVIS RD & HWY 70 S, NASHVILLE, TN, 37221",36.0795262,-86.9536221,1.0,4813.0,125.0,29.0,white,male,c9f0dea477,vehicular,seatbelt violation,False,True,False,citation,,,,False,False,False,False,,seatbelt violation,TN,
1650060,2016-03-23,74220.0,"HICKORY PL & STEWARTS FERRY PIKE, NASHVILLE, TN, 37214",36.1586013,-86.6406652,5.0,9405.0,517.0,44.0,unknown,female,6d13b2ff93,vehicular,moving traffic violation,False,True,False,citation,,,,False,False,False,False,,moving traffic violation,TN,
1781492,2014-04-11,3960.0,"938 RICHARDS RD, ANTIOCH, TN, 37013",36.0678408,-86.6816575,3.0,8893.0,325.0,26.0,hispanic,male,d506cb99f0,vehicular,moving traffic violation,False,True,True,citation,,,,False,False,False,False,,moving traffic violation,TN,
2696358,2015-08-12,67080.0,"BELL RD & SMITH SPRINGS RD, NASHVILLE, TN, 37217",36.0903135,-86.6265129,5.0,8987.0,533.0,27.0,unknown,male,7df5a96ae9,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,"IMPROPER USE OF TURNING LANE, EXPIRED TAG"
1238308,2018-08-05,1500.0,"40  E & JEFFERSON ST, NASHVILLE, TN, 37208",36.1682325,-86.813967,6.0,53124.0,615.0,26.0,black,female,3b07408ebf,vehicular,safety violation,False,False,True,warning,,,,False,False,False,False,,safety violation,TN,
56005,2012-10-17,5940.0,"I 440 W & NOLENSVILLE PIKE, NASHVILLE, TN, 37210",36.123955,-86.7493965,3.0,8101.0,311.0,51.0,white,female,09d9b43f08,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,
2695577,2015-08-12,46920.0,"2503 GALLATIN AVE, NASHVILLE, TN, 37206",36.1953631,-86.7433961,2.0,1883.0,227.0,36.0,black,female,338229ba25,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,
254680,2012-11-13,58620.0,"HARDING PL & NOLENSVILLE PIKE, NASHVILLE, TN, 37211",36.0796295,-86.7264067,8.0,8501.0,831.0,36.0,white,female,cf5265e2f4,vehicular,vehicle equipment violation,False,False,True,warning,,,,False,False,False,False,,vehicle equipment violation,TN,
1837127,2013-04-17,31020.0,"1729 ROSA L PARKS BLVD, NASHVILLE, TN, 37208",36.181931,-86.7974315,6.0,4349.0,617.0,68.0,white,male,e97ce2d9cb,vehicular,registration,False,False,True,warning,,,,False,False,False,False,,registration,TN,
1059155,2017-11-01,38700.0,"CENTRAL PIKE & DODSON CHAPEL RD, HERMITAGE, TN, 37076",36.1747229,-86.6142617,5.0,9503.0,521.0,26.0,white,male,a7a90aec7d,vehicular,safety violation,False,False,True,warning,,,,False,False,False,False,,safety violation,TN,
