,index,raw_row_number,date,time,location,lat,lng,precinct,reporting_area,zone,subject_age,subject_race,subject_sex,officer_id_hash,type,violation,arrest_made,citation_issued,warning_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,frisk_performed,search_conducted,search_person,search_vehicle,search_basis,reason_for_stop,vehicle_registration_state,notes,raw_verbal_warning_issued,raw_written_warning_issued,raw_traffic_citation_issued,raw_misd_state_citation_issued,raw_suspect_ethnicity,raw_driver_searched,raw_passenger_searched,raw_search_consent,raw_search_arrest,raw_search_warrant,raw_search_inventory,raw_search_plain_view
522,2974039,2250423,2015-09-21,50280.0,"ALBANY DR & ANDREW JACKSON PKWY, HERMITAGE, TN, 37076",36.2105091,-86.600107,5.0,9537.0,523.0,46.0,black,female,ba10efd51b,vehicular,moving traffic violation,False,True,False,citation,,,,False,False,False,False,,moving traffic violation,TN,,False,False,True,False,N,False,False,False,False,False,False,False
523,2940748,2560176,2016-09-16,11400.0,"701 STEWARTS FERRY PIKE, NASHVILLE, TN, 37214",36.1548344,-86.625564,5,8955.0,533,55.0,black,male,a1bdf5c653,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,,True,False,False,False,N,False,False,False,False,False,False,False
524,1901331,1707014,2014-04-24,57420.0,"BELL RD & HICKORY HOLLOW TER, ANTIOCH, TN, 37013",36.0507399,-86.6468549,3.0,8865.0,333.0,37.0,black,male,d417ae0732,vehicular,vehicle equipment violation,False,False,True,warning,,,,False,False,False,False,,vehicle equipment violation,TN,,True,False,False,False,N,False,False,False,False,False,False,False
525,1370101,2382666,2016-02-16,37200.0,"ANDERSON RD & COUNTRY WAY RD, ANTIOCH, TN, 37013",36.0779859,-86.6070842,3.0,8975.0,335.0,45.0,black,male,9d41edf114,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,,True,False,False,False,N,False,False,False,False,False,False,False
526,1000284,2790071,2017-08-02,20820.0,"4TH AVE S & KOREAN VETERANS BLVD, NASHVILLE, TN, 37201",36.1571758,-86.7746549,4.0,4053.0,425.0,30.0,white,female,abcb3821d2,vehicular,registration,False,False,True,warning,,,,False,False,False,False,,registration,TN,,True,,False,False,N,False,False,False,False,False,False,False
527,1673382,2069333,2015-03-26,55320.0,"COLONIAL CIR & DONELSON PIKE, NASHVILLE, TN, 37214",36.1630544,-86.6639697,5.0,9401.0,517.0,49.0,white,male,6d13b2ff93,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,,True,False,False,False,N,False,False,False,False,False,False,False
528,102157,1060824,2012-10-23,46200.0,"BRILEY PKWY E & GALLATIN PIKE, NASHVILLE, TN, 37216",36.2349622,-86.7283702,2.0,1596.0,217.0,57.0,white,female,79af04892d,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,,True,False,False,False,N,False,False,False,False,False,False,False
529,784008,1605120,2014-01-31,42000.0,"DICKERSON PIKE & GATEWOOD AVE, NASHVILLE, TN, 37207",36.2001781,-86.7698986,2,1863.0,223,44.0,white,male,c4680d166c,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,,True,False,False,False,N,False,False,False,False,False,False,False
530,520009,335539,2011-01-21,40080.0,"CONNARE DR & N GRAYCROFT AVE, MADISON, TN, 37115",36.2849663,-86.7153156,7.0,1759.0,727.0,29.0,black,female,d01c23e2fc,vehicular,investigative stop,False,False,True,warning,,,,False,False,False,False,,investigative stop,TN,"REGISTRATION, , D.L  ,
",True,False,False,,N,False,False,False,False,False,False,False
531,2654573,2506085,2016-07-07,73680.0,"52ND AVE N & CHARLOTTE AVE, NASHVILLE, TN, 37209",36.1519223,-86.8498908,1,5123.0,113,37.0,hispanic,male,e8583fbb05,vehicular,moving traffic violation,False,True,True,citation,,,,False,False,False,False,,moving traffic violation,TN,"cutting through private property, no dl",True,False,False,True,H,False,False,False,False,False,False,False
